path	upstream_status	project_delta	project_relation	resolution	disposition	rationale
.agents/skills/docs-cleanup/SKILL.md	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
.agents/skills/docs-inventory/SKILL.md	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
.agents/skills/docs-prep/SKILL.md	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
.agents/skills/docs-template-migration/SKILL.md	A	unchanged	upstream-owned-unmodified	apply	adapted-to-direct-downstream-lock	Keep paired migration skill operational without example file
.agents/skills/implementation-prep/SKILL.md	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
.agents/skills/post-implementation/SKILL.md	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
.agents/skills/qa-prep/SKILL.md	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
.agents/skills/qa-review/SKILL.md	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
.agents/skills/test-maintenance/SKILL.md	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
.claude/settings.json	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
.claude/skills/docs-cleanup/SKILL.md	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
.claude/skills/docs-inventory/SKILL.md	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
.claude/skills/docs-prep/SKILL.md	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
.claude/skills/docs-template-migration/SKILL.md	A	unchanged	upstream-owned-unmodified	apply	adapted-to-direct-downstream-lock	Keep paired migration skill operational without example file
.claude/skills/implementation-prep/SKILL.md	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
.claude/skills/post-implementation/SKILL.md	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
.claude/skills/qa-prep/SKILL.md	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
.claude/skills/qa-review/SKILL.md	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
.claude/skills/test-maintenance/SKILL.md	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
.codex/hooks.json	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
.env.example	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
.github/ISSUE_TEMPLATE/bug_report.yml	D	D	customized-shared	remove	already-absent-at-P	Honor U deletion without permanent deletion
.github/ISSUE_TEMPLATE/feature_request.yml	D	D	customized-shared	remove	already-absent-at-P	Honor U deletion without permanent deletion
.github/workflows/docs-ci.yml	M	D	customized-shared	apply	restored-with-compat-acmr	Scope is exactly paths added/copied/modified/renamed from P d309974a77c736b6d333819a38460edaeb21e57e while DD_SCOPE_DIFF_FILTER=ACMR remains configured; it ends only when an owner-approved strict frontmatter/link/intent PASS replaces it
.github/workflows/windows-bundle.yml	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
.gitignore	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
.logs/app.log	unchanged	R100-to	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
.markdownlint.jsonc	M	unchanged	upstream-owned-unmodified	apply	upstream-policy-retained	No migration-local lint exemptions; U-derived 12-rule policy remains unchanged and project-local lint fixes are recorded in artifacts/markdownlint-remediation.tsv
.opencode/opencode.jsonc	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
.opencode/package.json	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
.opencode/skills/debug/SKILL.md	D	unchanged	upstream-owned-unmodified	remove	quarantined-nonoperational	U removed stale active guidance; content retained without discovery
